trial_id,trial_dir,method,scenario,lighting,group_type,gesture_label,trigger_family,trial_index,round_index,valid_capture,missed,n_frames,segmentation_purity_percent,predicted_label,inference_correct,recognition_efficiency
20260508.180030.361924,metric_tests\proposed_auto\dim\20260508.180030.361924,proposed_auto,dim,dim,lighting,swipeR,wrist_trigger,18,3,True,False,21,85.0,swipeL,0,0.0
20260508.180043.885728,metric_tests\proposed_auto\dim\20260508.180043.885728,proposed_auto,dim,dim,lighting,swipeR,wrist_trigger,19,4,True,False,26,68.0,swipeL,0,0.0
20260508.180049.675868,metric_tests\proposed_auto\dim\20260508.180049.675868,proposed_auto,dim,dim,lighting,swipeR,wrist_trigger,20,5,True,False,25,83.33333333333334,swipeL,0,0.0
20260508.180057.992836,metric_tests\proposed_auto\dim\20260508.180057.992836,proposed_auto,dim,dim,lighting,Grab,scale_trigger,21,1,True,False,14,30.76923076923077,Grab,1,100.0
20260508.180107.305411,metric_tests\proposed_auto\dim\20260508.180107.305411,proposed_auto,dim,dim,lighting,Grab,scale_trigger,22,2,False,True,0,0.0,,0,0.0
20260508.180110.409224,metric_tests\proposed_auto\dim\20260508.180110.409224,proposed_auto,dim,dim,lighting,Grab,scale_trigger,23,3,True,False,15,21.428571428571427,Grab,1,100.0
20260508.180119.623513,metric_tests\proposed_auto\dim\20260508.180119.623513,proposed_auto,dim,dim,lighting,Grab,scale_trigger,24,4,True,False,13,25.0,Grab,1,100.0
20260508.180129.240000,metric_tests\proposed_auto\dim\20260508.180129.240000,proposed_auto,dim,dim,lighting,Grab,scale_trigger,25,5,True,False,13,33.33333333333333,Grab,1,100.0
20260508.180138.248583,metric_tests\proposed_auto\dim\20260508.180138.248583,proposed_auto,dim,dim,lighting,Expand,scale_trigger,26,1,True,False,13,25.0,Expand,1,100.0
20260508.180146.763961,metric_tests\proposed_auto\dim\20260508.180146.763961,proposed_auto,dim,dim,lighting,Expand,scale_trigger,27,2,False,True,0,0.0,,0,0.0
20260508.180152.169330,metric_tests\proposed_auto\dim\20260508.180152.169330,proposed_auto,dim,dim,lighting,Expand,scale_trigger,28,3,False,True,0,0.0,,0,0.0
20260508.180157.579356,metric_tests\proposed_auto\dim\20260508.180157.579356,proposed_auto,dim,dim,lighting,Expand,scale_trigger,29,4,False,True,0,0.0,,0,0.0
20260508.180203.179799,metric_tests\proposed_auto\dim\20260508.180203.179799,proposed_auto,dim,dim,lighting,Expand,scale_trigger,30,5,False,True,0,0.0,,0,0.0
20260508.175116.194662,metric_tests\proposed_auto\normal\20260508.175116.194662,proposed_auto,normal,normal,lighting,SwipeU,wrist_trigger,1,1,True,False,25,91.66666666666666,SwipeU,1,100.0
20260508.175118.750546,metric_tests\proposed_auto\normal\20260508.175118.750546,proposed_auto,normal,normal,lighting,SwipeU,wrist_trigger,2,2,True,False,22,85.71428571428571,SwipeU,1,100.0
20260508.175121.394687,metric_tests\proposed_auto\normal\20260508.175121.394687,proposed_auto,normal,normal,lighting,SwipeU,wrist_trigger,3,3,True,False,29,96.42857142857143,SwipeU,1,100.0
20260508.175123.827414,metric_tests\proposed_auto\normal\20260508.175123.827414,proposed_auto,normal,normal,lighting,SwipeU,wrist_trigger,4,4,True,False,27,96.15384615384616,SwipeU,1,100.0
